date,GBPINR,USDINR
2008-08-26,0.04575161502447622,0.029245444324961012
2008-11-03,0.03948604621686469,
2008-12-18,0.04732200493246819,
2009-05-18,,0.036914060223148804
2012-01-27,0.03829461501454001,0.04986000061035156
2012-01-30,0.045660155574373196,0.05915073515385272
2012-01-31,0.04784475450865622,0.06286951307075239
2012-02-01,0.040767081534163085,0.05701712664121983
2013-08-28,,0.039926607438081296
2013-08-29,0.03631425935274968,
2013-09-04,,0.031574175412289573
2013-09-05,,0.034105872999104836
2016-06-27,0.07635064608468456,
2020-03-16,0.04228609668429795,
2020-04-02,,0.029804219549117716
